,date,Fishtown,Southwest Center City,Point Breeze Credit Union,Chinatown,WPHL-TV,Passyunk Square,Spring Garden Road,Callow Hill,Hawthorne,American Pie,Manayunk,Society Hill,West Mount Airy,Pennsport,Washington Square Park,Queen Village,Fitler Square,Staten Island,Rittenhouse Square,Somerton,East Kensington,Jefferson Torresdale Hospital,Northern Liberties,Francisville,Bella Vista,Fairmount,Old City,Logan Square
115,2020-03-22,22,29,58,46,6,28,29,0,15,28,23,28,0,11,8,41,6,51,25,33,0,43,25,0,50,11,0,23
116,2020-03-29,20,24,64,36,6,21,9,0,30,33,20,26,8,17,7,23,25,50,16,16,13,19,25,20,31,13,0,21
117,2020-04-05,15,43,71,41,5,11,10,0,0,44,21,31,31,17,15,24,44,49,25,28,0,40,29,16,13,13,26,33
118,2020-04-12,17,18,77,55,6,20,37,0,0,36,26,22,15,27,9,25,12,47,17,26,0,19,31,10,18,14,100,25
119,2020-04-19,21,28,56,44,3,14,19,0,30,34,26,25,38,11,11,44,18,48,24,21,13,50,30,65,24,11,25,27
120,2020-04-26,18,14,84,48,3,17,18,0,29,38,30,30,30,11,10,27,24,48,28,26,26,11,34,35,18,16,25,31
121,2020-05-03,18,37,80,47,7,17,19,0,15,34,28,28,23,22,15,25,12,55,23,37,26,34,38,20,24,13,51,31
122,2020-05-10,18,52,64,48,6,17,0,0,0,38,29,27,15,28,9,23,43,53,26,49,26,23,32,36,31,16,0,27
123,2020-05-17,21,43,61,54,5,45,9,0,30,40,48,27,38,17,10,38,56,52,26,27,0,19,38,20,43,16,0,28
124,2020-05-24,16,45,62,49,4,26,30,0,16,37,31,29,16,6,15,38,32,58,22,34,0,49,33,37,13,15,27,27
125,2020-05-31,100,33,63,47,8,90,9,0,0,35,37,24,30,44,35,32,43,61,56,70,13,27,50,20,30,17,0,82
126,2020-06-07,54,53,70,61,5,36,19,0,0,33,40,25,16,40,27,46,25,68,19,50,14,36,41,21,50,23,26,40
127,2020-06-14,29,30,76,66,5,29,10,0,16,35,39,19,16,47,23,29,26,74,32,57,14,45,42,43,52,23,0,43
128,2020-06-21,34,26,61,48,6,42,10,0,0,32,44,38,25,43,18,58,33,76,36,71,43,68,46,39,33,21,28,52
129,2020-06-28,30,21,51,53,4,50,42,0,33,32,40,28,25,31,39,30,20,69,35,12,0,43,48,22,34,14,28,61
130,2020-07-05,29,16,68,47,3,42,31,0,17,29,40,30,25,37,14,37,41,70,31,24,0,39,47,22,20,20,0,44
131,2020-07-12,27,37,63,43,6,35,31,0,67,30,42,25,17,25,14,30,61,66,34,24,0,47,60,28,34,20,57,46
132,2020-07-19,30,16,49,57,6,39,21,0,0,34,39,34,34,25,11,28,48,66,36,24,44,43,44,0,27,19,29,59
133,2020-07-26,28,38,68,57,2,51,43,0,17,30,44,27,26,38,20,65,63,67,32,67,15,18,58,40,49,16,0,51
134,2020-08-02,25,26,61,56,5,50,31,0,50,31,55,37,25,31,15,28,55,69,42,60,44,30,50,34,82,14,0,45
135,2020-08-09,24,57,60,56,8,27,10,0,0,32,42,26,25,43,16,39,47,62,37,42,29,47,55,33,61,16,28,38
136,2020-08-16,33,36,70,56,3,23,31,0,17,29,46,35,8,25,17,42,27,62,44,65,15,47,49,22,27,17,28,54
137,2020-08-23,24,55,52,46,7,37,30,0,32,34,42,30,24,12,15,29,39,62,30,45,28,45,40,59,52,12,0,40
138,2020-08-30,26,64,74,52,4,29,0,0,16,28,44,26,32,41,15,33,44,61,40,56,41,56,55,31,45,16,0,47
139,2020-09-06,29,79,55,73,4,44,30,0,0,31,44,30,0,29,26,49,26,61,46,40,42,20,59,21,45,18,27,41
140,2020-09-13,26,39,41,63,4,21,19,0,31,25,48,25,24,40,29,39,32,62,38,22,14,48,50,16,25,17,0,45
