City,date,index_ratio
Los Angeles,2019-10,0.005401202761430735
Los Angeles,2019-11,0.005384054093509068
Los Angeles,2019-12,0.0054043285418698085
Los Angeles,2020-01,0.005401431006549389
Los Angeles,2020-02,0.005352572856215876
Los Angeles,2020-03,0.005330450132556236
Los Angeles,2020-04,0.005205021495461335
Los Angeles,2020-05,0.005281857968334454
Los Angeles,2020-06,0.005291948540922495
Los Angeles,2020-07,0.005303664583748008
Los Angeles,2020-08,0.005251281924506035
Los Angeles,2020-09,0.005183377839190828
Los Angeles,2020-10,0.005136204912716226
Los Angeles,2020-11,0.005092385426310883
Los Angeles,2020-12,0.00501672514436626
Los Angeles,2021-01,0.0049818091422501355
Los Angeles,2021-02,0.004969509441237885
Los Angeles,2021-03,0.0049691841830239595
Los Angeles,2021-04,0.004983338960728072
