RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22
116430,4983,Marina,Neighborhood,CA,CA,Ventura,Oxnard-Thousand Oaks-Ventura,Ventura County,395553,398902,400306,398640,400033,403208,404685,406481,406591,408059,407063,407437,406643,406665,408179,412729,416178,413137,411053,410679,414977,418724,419728,419499,417739,422676,428533,435500,433246,429223,427163,428864,434219,439925,446644,451563,454941,456779,460769,464912,472538,481044,491539,501749,508556,509442,514417,521223,534849,544223,553656
271632,4990,West Congress,Neighborhood,TX,TX,Austin,Austin-Round Rock,Travis County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460150,467463,474284,478312,486991,496526,508157,530392
272809,4995,Ashbrook-Clawson Village,Neighborhood,NC,NC,Charlotte,Charlotte-Concord-Gastonia,Mecklenburg County,267110,270108,273126,275006,276380,277201,278304,279733,282174,284453,287607,289178,291406,291543,291785,292197,292348,293064,293412,294080,294641,296508,299172,301854,303193,305343,305204,305236,305374,306987,308740,310738,314551,318894,322171,324947,329010,332199,335581,337518,339706,343268,348156,354711,360425,363493,366859,369476,374332,379871,387426
216693,5000,Village Shires,Neighborhood,PA,PA,Northampton Township,Philadelphia-Camden-Wilmington,Bucks County,198973,199596,199816,199519,199218,198450,197965,198147,198779,199352,200022,200078,201741,202777,204382,203966,204676,205080,206435,207031,207292,207323,207585,208018,209315,210924,212283,212323,212079,212309,213563,215741,219373,224077,228002,231447,233250,234912,236545,240899,246557,252824,255860,257283,258084,259427,262001,264015,266766,269491,273375
276312,5004,East Shore,Neighborhood,CT,CT,New Haven,New Haven-Milford,New Haven County,137845,137382,137659,136774,136678,136299,135804,135705,136344,137366,137848,138543,139081,140107,140794,141045,140550,140118,140037,140806,140917,141140,141353,141574,141759,140858,140320,139321,138482,137437,137995,140404,,153230,159638,162229,163387,164185,165625,168362,172170,177460,182156,183384,183061,182619,183228,183492,183416,181152,183261
415867,5004,Foxboro,Neighborhood,OH,OH,Columbus,Columbus,Franklin County,98578,100699,102930,105119,105651,106374,108098,109550,109803,110795,111839,113828,114634,116220,117345,118061,118676,118695,119171,119160,120242,121365,121800,122135,122590,123579,124477,124787,125148,125203,126280,128030,130607,132923,135188,138051,140584,142884,144071,145023,146284,147117,148535,148214,149648,150879,153288,154504,156171,158116,160131
268218,5007,Hunters Point,Neighborhood,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,741766,752719,771786,783747,787008,790631,795768,802497,803744,806273,809722,814284,821540,830360,839797,845409,846969,833690,821455,801568,795825,792350,792172,794264,793271,798347,803143,806140,798161,779146,758075,755886,754263,756460,754527,758218,772380,791984,815473,824066,829082,823697,826183,828884,836750,842662,843461,846128,849301,858420,867720
403351,5009,North Kenwood,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,240840,242280,241694,239637,238603,238297,238138,237051,237337,237395,239863,242370,245136,246544,246021,246010,245329,246605,246636,247191,246034,247281,248457,250135,249868,251915,253567,255657,255332,255694,257146,258878,262233,266758,271707,275740,276943,277954,277592,278122,278493,280643,283772,286587,288741,291143,294279,295543,294723,292718,291543
763776,5009,Santa Monica Pier Area-Ocean Avenue,Neighborhood,CA,CA,Santa Monica,Los Angeles-Long Beach-Anaheim,Los Angeles County,1592591,1611055,1626723,1640570,1651278,1657965,1636102,1611601,1593533,1601929,1604632,1592250,1584725,1575699,1570687,1570073,1572073,1572444,1537927,1507582,1491364,1506791,1513509,1514276,1514650,1524534,1528987,1531659,1514603,1495454,1497110,1513565,1528345,1531104,1534459,1547710,1552735,1557606,1574411,1589861,1617592,1637236,1672010,1673817,1665617,1646349,1638056,1628039,1609088,1613515,1634337
275082,5016,Potomac Yard-Potomac Greens,Neighborhood,VA,VA,Alexandria,Washington-Arlington-Alexandria,Alexandria City,638312,637298,632364,625579,620042,618843,621197,623012,624284,626703,627926,631239,632046,635557,639124,643463,647786,650083,652161,654314,660372,664659,665968,668073,671290,682549,688586,690293,687158,687508,692107,694874,698016,702819,708705,710182,708880,703376,701997,704288,713531,720203,724389,725563,727290,728808,732032,736795,741371,745658,749507
