City,date,housing_price,roomtype
Philadelphia,2018-09,262828.23529411765,1bed
Philadelphia,2018-10,264491.5882352941,1bed
Philadelphia,2018-11,266804.1176470588,1bed
Philadelphia,2018-12,268880.76470588235,1bed
Philadelphia,2019-01,268899.8823529412,1bed
Philadelphia,2019-02,263383.0,1bed
Philadelphia,2019-03,262008.88888888888,1bed
Philadelphia,2019-04,262295.3333333333,1bed
Philadelphia,2019-05,262533.5,1bed
Philadelphia,2019-06,261847.72222222222,1bed
Philadelphia,2019-07,260777.88888888888,1bed
Philadelphia,2019-08,259353.16666666666,1bed
Philadelphia,2019-09,258757.22222222222,1bed
Philadelphia,2019-10,253411.0,1bed
Philadelphia,2019-11,252149.36842105264,1bed
Philadelphia,2019-12,251745.57894736843,1bed
Philadelphia,2020-01,252718.2105263158,1bed
Philadelphia,2020-02,254170.52631578947,1bed
Philadelphia,2020-03,255830.31578947368,1bed
Philadelphia,2020-04,250524.55,1bed
Philadelphia,2020-05,251347.4,1bed
Philadelphia,2020-06,250775.45,1bed
Philadelphia,2020-07,251580.65,1bed
Philadelphia,2020-08,255042.6,1bed
Philadelphia,2020-09,252137.66666666666,1bed
Philadelphia,2020-10,256543.2380952381,1bed
Philadelphia,2020-11,259247.2857142857,1bed
Philadelphia,2020-12,260704.95238095237,1bed
Philadelphia,2021-01,253489.0909090909,1bed
Philadelphia,2021-02,254950.9090909091,1bed
Philadelphia,2021-03,261494.7142857143,1bed
Philadelphia,2021-04,256779.77272727274,1bed
Philadelphia,2021-05,257843.81818181818,1bed
Philadelphia,2021-06,266700.2272727273,1bed
Philadelphia,2021-07,255973.30434782608,1bed
Philadelphia,2021-08,253383.21739130435,1bed
Philadelphia,2021-09,249432.65217391305,1bed
Philadelphia,2021-10,254378.18181818182,1bed
Philadelphia,2021-11,248286.04347826086,1bed
Philadelphia,2021-12,248042.52173913043,1bed
Philadelphia,2022-01,242109.08333333334,1bed
Philadelphia,2022-02,242411.33333333334,1bed
Philadelphia,2022-03,242610.16666666666,1bed
Pittsburgh,2018-01,149528.5,1bed
Pittsburgh,2018-02,150446.5,1bed
Pittsburgh,2018-03,152285.0,1bed
Pittsburgh,2018-04,153701.5,1bed
Pittsburgh,2018-05,154088.5,1bed
Pittsburgh,2018-06,153538.5,1bed
Pittsburgh,2018-07,153010.5,1bed
Pittsburgh,2018-08,153491.5,1bed
Pittsburgh,2018-09,154357.5,1bed
Pittsburgh,2018-10,155732.5,1bed
Pittsburgh,2018-11,156756.5,1bed
Pittsburgh,2018-12,157501.0,1bed
Pittsburgh,2019-01,157897.0,1bed
Pittsburgh,2019-02,158257.5,1bed
Pittsburgh,2019-03,157577.0,1bed
Pittsburgh,2019-04,156206.0,1bed
Pittsburgh,2019-05,155145.5,1bed
Pittsburgh,2019-06,154398.0,1bed
Pittsburgh,2019-07,153662.5,1bed
Pittsburgh,2019-08,153148.5,1bed
Pittsburgh,2019-09,153042.0,1bed
Pittsburgh,2019-10,153032.5,1bed
Pittsburgh,2019-11,153693.0,1bed
Pittsburgh,2019-12,154486.0,1bed
Pittsburgh,2020-01,156321.5,1bed
Pittsburgh,2020-02,156004.0,1bed
Pittsburgh,2020-03,156610.5,1bed
Pittsburgh,2020-04,156694.5,1bed
Pittsburgh,2020-05,157229.0,1bed
Pittsburgh,2020-06,156748.0,1bed
Pittsburgh,2020-07,156956.5,1bed
Pittsburgh,2020-08,158757.0,1bed
Pittsburgh,2020-09,161637.0,1bed
Pittsburgh,2020-10,164312.0,1bed
Pittsburgh,2020-11,166893.5,1bed
