RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22
121211,5581,Newfield,Neighborhood,CT,CT,Stamford,Bridgeport-Stamford-Norwalk,Fairfield County,,,,,,,,,,,,,866639,870326,877861,889346,898458,896804,889912,881340,874157,867308,853014,842304,834823,835033,839668,844538,851869,859532,873495,889440,900337,903402,901512,903893,911248,924084,942140,959902,985657,1009457,1032487,1043477,1043835,1040159,1037212,1040163,1045354,1047024,1038226
762256,5593,Third Ward,Neighborhood,WI,WI,Eau Claire,Eau Claire,Eau Claire County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385342,382907,378610,377905,374782,374917,379420
271949,5595,Northwest,Neighborhood,WA,WA,Vancouver,Portland-Vancouver-Hillsboro,Clark County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530605,537531,545815,557511,569998,582745,595373,598390,600926,613477,638509,663761,675311,683993,691725,701377,709471,720798,731818
762860,5602,Johnny Cake,Neighborhood,MN,MN,Apple Valley,Minneapolis-St. Paul-Bloomington,Dakota County,448109,451780,454007,454633,455138,453245,453539,453497,456285,458764,461259,462340,463674,464614,464659,464209,466704,468564,470374,468425,469608,472325,475001,479273,482875,487138,488355,485615,483167,479936,481818,485848,493222,500947,508172,514025,519334,520318,522933,525114,533757,540342,548779,553835,559135,563163,571188,580982,589936,600400,609697
269703,5605,French Quarter,Neighborhood,LA,LA,New Orleans,New Orleans-Metairie,Orleans Parish,,,,,,,,,,,,,,,,,,,,,,,,1475275,1509407,1523097,1512990,1484475,1470426,1479729,1498930,1502983,1492353,1488507,1493860,1503772,1514719,1522873,1514957,1511268,1528098,1562508,1573969,1563344,1546692,1550458,1556242,1570250,1588344,1595165,1588230
270906,5615,Park Meadow,Neighborhood,NY,NY,Buffalo,Buffalo-Cheektowaga-Niagara Falls,Erie County,760402,765842,773530,778503,782162,784012,789926,799235,809174,812801,815204,815902,820072,823183,831563,834753,840148,840868,844366,840422,839666,835232,839964,838825,839031,839264,839090,844337,845306,846743,849662,855009,864225,872615,881789,892532,903188,912086,918021,923357,918828,921210,926014,937924,938927,935604,936001,940020,944720,951588,971209
272279,5628,Upper East Side,Neighborhood,WI,WI,Milwaukee,Milwaukee-Waukesha-West Allis,Milwaukee County,458352,465457,471504,473786,473089,468310,466106,466407,467824,469199,468703,470073,469962,475064,480045,483721,482207,476853,475238,475239,478336,481101,483464,488449,493151,498894,501415,504694,506964,505693,503779,503916,509362,516311,523861,530930,537849,548194,557623,565277,571445,579834,586999,590250,590977,590045,589993,588069,591398,596952,607959
343892,5634,Browncroft,Neighborhood,NY,NY,Rochester,Rochester,Monroe County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421518,429565,434826,441108,445930,451250,456277
761169,5642,Downtown North,Neighborhood,PA,PA,Pottstown,Philadelphia-Camden-Wilmington,Montgomery County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161886,164047,167902
763268,5648,Nautica Isles,Neighborhood,FL,FL,Greenacres,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,382598,385270,387390,388450,389807,391252,393191,393614,392399,392215,392497,394994,395683,395279,395129,393880,393946,393148,393279,391976,390658,389622,391658,393680,396103,398642,400044,401058,400163,400532,402926,406042,409396,411650,416519,421692,427070,429905,435444,441470,450275,464509,478244,489746,496101,506657,520296,533469,547019,558600,577887
202610,5656,Northridge,Neighborhood,UT,UT,Orem,Provo-Orem,Utah County,347468,350006,350115,351189,351425,353252,356218,362208,369330,376560,382231,386130,389368,391448,393535,395467,396789,399538,401017,402321,402484,403190,404630,405288,408196,410983,411541,410774,408892,410409,413869,418635,425331,432562,439717,448470,454255,463544,471218,482281,501622,526045,548958,560911,566111,570036,576340,586845,595673,608100,615942
753718,5661,Arbor Greene,Neighborhood,FL,FL,Tampa,Tampa-St. Petersburg-Clearwater,Hillsborough County,438912,440570,442825,444415,443494,441641,441007,441314,443480,444884,445671,446927,448184,449126,449424,450207,451725,452505,453776,455265,456402,457608,456840,456469,456657,459356,461676,463497,463553,462499,461567,463155,466461,470721,473508,478381,483762,491297,500758,510467,522938,540095,562106,582687,600902,616155,633838,646905,662196,674925,694613
271801,5666,Alabama Hill,Neighborhood,WA,WA,Bellingham,Bellingham,Whatcom County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589540,598985,604702,617154,626126,637935,644166,658788,672816,692589,710416,731785,749312,767142,781087,792937,803214
342773,5670,Highland Park,Neighborhood,CO,CO,Aurora,Denver-Aurora-Lakewood,Arapahoe County,355601,354690,353468,354570,358584,361857,364907,367964,371136,374962,377484,377562,375981,376219,377722,379121,379264,379123,378957,377968,378213,379670,381322,384604,387656,390482,390933,391714,391379,391533,390529,392821,395588,401072,405081,410154,414257,420022,425763,431186,438673,448246,459554,468656,473981,478339,483689,491151,501542,510963,522797
274030,5673,Hillwood Estates,Neighborhood,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,1416994,1408910,1395263,1386587,1382730,1382932,1381614,1387623,1393094,1401450,1405402,1407729,1410953,1418323,1421992,1423580,1422743,1424326,1426719,1430355,1433374,1434463,1437383,1442612,1453288,1469182,1484476,1498861,1503129,1505941,1503205,1510271,1523488,1537610,1545828,1556750,1565717,1577863,1588583,1631743,1686137,1751675,1788554,1821422,1852077,1895248,1948074,2002772,2050090,2135142,2176136
764044,5673,Birch Grove,Neighborhood,MN,MN,Brooklyn Park,Minneapolis-St. Paul-Bloomington,Hennepin County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299623,301716,305141,310738,314891,317379,317595,319128,322331,325857,330131,333840
22720,5676,Tamalpais Valley,Neighborhood,CA,CA,Mill Valley,San Francisco-Oakland-Hayward,Marin County,2450784,2453574,2435920,2432015,2442550,2452203,2410012,2380488,2363077,2380587,2376931,2362349,2354710,2346434,2349921,2370555,2374278,2410079,2398202,2391102,2352597,2338751,2327952,2322805,2321691,2344567,2327569,2302833,2263102,2266933,2292786,2353684,2403180,2423954,2400575,2383157,2382789,2390956,2411415,2455324,2524240,2580834,2646281,2676981,2707869,2729552,2785476,2858902,2934710,2994431,3048918
264828,5676,Palisades,Neighborhood,OR,OR,Lake Oswego,Portland-Vancouver-Hillsboro,Clackamas County,881839,884320,894794,893705,888798,880711,874249,869131,862551,862317,868571,876435,879927,881116,879599,878997,878296,880026,883291,885846,890096,894605,900159,911058,921342,925542,923526,921744,919843,923652,925819,938658,949062,962690,975091,984056,992081,998623,1011352,1031911,1056418,1079935,1100788,1112463,1122539,1132427,1148193,1169925,1186757,1208626,1232267
396787,5684,Northeast Ithaca,Neighborhood,NY,NY,Town Of Ithaca,Ithaca,Tompkins County,343228,343305,343331,343197,342801,342037,343066,344070,344789,344499,344864,344718,345426,344483,343246,339382,336085,333798,333838,335108,338483,340876,341716,341038,341922,344226,345996,347987,349666,351576,352496,353168,353445,355037,358295,361958,364147,366497,368347,370571,371217,374459,378332,381832,386351,390631,395152,399614,406065,416652,423930
180599,5684,Buena Vista,Neighborhood,NC,NC,Winston-Salem,Winston-Salem,Forsyth County,761025,771125,780472,786055,787990,789099,792068,794112,795926,797824,798534,799676,798215,801923,804523,809899,810117,812498,812737,814005,812517,812448,816704,822631,828128,830966,831242,831392,835034,837030,840773,842106,845873,851098,853885,864540,876978,890871,907482,919779,935223,941442,952387,967413,987565,1005737,1015547,1029217,1043450,1062260,1079317
271185,5689,Homewood North,Neighborhood,PA,PA,Pittsburgh,Pittsburgh,Allegheny County,,,,,,,,,,,,,85062,82768,79982,76780,75652,77055,77341,78307,80214,83739,85685,85840,86991,90602,95561,97492,95047,92490,92468,94560,95516,95704,97039,98260,99789,100077,99769,99963,101087,101965,99098,93155,87176,84260,86112,87610,88074,83799,78946
761176,5689,Covington Shores,Neighborhood,IN,IN,Granger,South Bend-Mishawaka,Saint Joseph County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633144,638443,642872,646899,653712,659194,663493,663236,675439,681084,695517,706350,724066,730342,738739,744740,760190,771126,780558
276644,5695,Wescott,Neighborhood,NY,NY,Syracuse,Syracuse,Onondaga County,163277,164179,165235,164791,165795,166804,168370,167634,167061,166466,166969,167028,167437,166663,166199,165853,165295,164940,163497,162445,161735,163061,165242,165921,165076,164215,165532,167579,169625,171671,174862,178327,182544,186259,190632,193547,195089,195396,194778,194228,196015,198556,202163,203989,206251,207449,209545,213120,217282,222551,227140
763963,5696,Arbor Chase,Neighborhood,IN,IN,West Lafayette,Lafayette-West Lafayette,Tippecanoe County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495289,499176,503237,507069,510395,513508,514830,517445,520931,527196,535364,543828,550372,555860,563296,572876,583020,593022,600980,605980,610821,617985,626755
343553,5700,"Hill Farms, University Neighborh",Neighborhood,WI,WI,Madison,Madison,Dane County,443113,446951,452440,455581,458885,459833,461378,462944,464806,466418,469152,472773,476376,479874,481806,482744,482175,481689,481708,480907,480190,479934,482093,484453,486630,488644,490983,495552,497436,499947,499732,502359,507365,512871,518736,520337,523157,528830,536514,542567,546416,553361,560624,566229,568116,570604,573773,578145,585918,596013,609054
